job_id,candidate_id,label
J001,C001,1
J001,C002,0
J001,C003,1
J001,C004,0
J001,C005,1
J001,C006,0
J001,C007,1
J001,C008,1
J001,C009,0
J001,C010,0
J002,C001,0
J002,C002,1
J002,C003,0
J002,C004,0
J002,C005,0
J002,C006,1
J002,C007,0
J002,C008,0
J002,C009,1
J002,C010,0
J003,C001,1
J003,C002,0
J003,C003,1
J003,C004,0
J003,C005,0
J003,C006,0
J003,C007,1
J003,C008,1
J003,C009,0
J003,C010,0
J004,C001,0
J004,C002,0
J004,C003,0
J004,C004,1
J004,C005,0
J004,C006,0
J004,C007,0
J004,C008,0
J004,C009,0
J004,C010,1
J005,C001,1
J005,C002,0
J005,C003,0
J005,C004,0
J005,C005,0
J005,C006,1
J005,C007,0
J005,C008,0
J005,C009,0
J005,C010,0
